id,markets,founded in,employees,headquarters,country,total raised (USD),latest_round_amount (USD),latest_round_date,latest_round_type,acquired_by,acquired_at,acquired_amount (USD)
153127,"Big Data > Machine Learning, Data Science > Computer Vision, Big Data > Machine Learning > Deep Learning",2015.0,2.0,Cambridge,United States,,,,,Orbital Insight,2018-09-19,0.0
153150,"Technology > Artificial Intelligence, Finance > FinTech > Blockchain",,,Paris,France,,,,,,,
153326,"Big Data > Machine Learning > Natural Language Processing, Software",,,San Francisco,United States,3400000.0,3400000.0,2018-08-09,Series A,,,
153347,"Image Recognition, Big Data > Machine Learning, Agriculture, Technology > Deep Tech",2015.0,11.0,Darmsatdt,Germany,2306964.0,1954023.0,2019-02-01,Seed fund,,,
153529,"Robotics, Technology > Artificial Intelligence",,,Beijing,China,0.0,0.0,2018-08-13,Series A,,,
153531,"Robotics, Technology > Artificial Intelligence",,,Hangzhou,China,0.0,0.0,2018-08-10,Series A,,,
153568,"Big Data > Machine Learning, Technology > Artificial Intelligence, Legal, Legal > Legal Tech",2015.0,2.0,Toronto,Canada,,,,,,,
153599,"Technology > Artificial Intelligence, Internet of Things, Data Science > Computer Vision, Data Science",2015.0,30.0,Berlin,Germany,,,,,,,
153695,"Internet > SaaS, Technology > Artificial Intelligence, Education > EdTech, Big Data > Machine Learning > Deep Learning",2017.0,10.0,MIAMI,United States,300000.0,300000.0,2018-09-01,Seed fund,,,
153725,"Services > Customer Service, Technology > Artificial Intelligence, Services > Customer Service > Customer Support Tools, Communication > Chat",2018.0,,Warsaw,Poland,,0.0,2018-02-01,Undisclosed funding,,,
153744,"Finance > Trading, Technology > Artificial Intelligence, Finance > Trading > Stock Exchanges, Finance > FinTech",2014.0,6.0,Tortola,British Virgin Islands,,,,,,,
153746,"Technology > Artificial Intelligence, Internet of Things",,,Beijing,China,0.0,0.0,2018-08-14,Angel,,,
153763,"E-Commerce, Software > Enterprise Software, Analytics, Big Data, Technology > Artificial Intelligence",2015.0,,Liège,Belgium,,,,,,,
153769,"Technology, Technology > Artificial Intelligence, Health Care > Medical, Health Care, Software, Health Care > Medical > Diagnostics, Health Care > Medical > Diagnostics > Health Diagnostics",2001.0,,Aalborg,Denmark,,,,,,,
153770,"Big Data > Machine Learning > Natural Language Processing, Research",2017.0,,,Denmark,,,,,,,
153772,"Technology, Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence, Legal, Software, Big Data > Machine Learning > Deep Learning",2015.0,11.0,,Denmark,,,,,,,
153773,"Mobile, Big Data, Big Data > Machine Learning, Mobile > Mobile Advertising, Software, Software > Mobile Applications > iOS, Software > Mobile Applications",2014.0,2.0,Copenhagen,Denmark,,,,,Gravity4,2015-10-20,0.0
153774,"Internet > SaaS, Big Data > Machine Learning",2013.0,11.0,Aarhus,Denmark,,,,,,,
153776,Technology > Artificial Intelligence,2018.0,,Finland,Finland,,,,,,,
153777,"Big Data, Big Data > Machine Learning",2017.0,2.0,,Ireland,,,,,,,
153778,"Technology > Artificial Intelligence, Security > Identity",2015.0,,Dublin,Ireland,,,,,,,
153780,"Technology > Artificial Intelligence, Services > Customer Service > Customer Support Tools",2016.0,2.0,Dublin City,Ireland,,,,,,,
153781,"Technology > Artificial Intelligence, Health Care",2017.0,,Ankara,Ireland,,,,,,,
153787,"Technology, Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence, Data Science, Big Data > Machine Learning > Deep Learning",2017.0,11.0,,,,,,,,,
153793,"Technology > Artificial Intelligence, Finance > Financial Services > Banking",2016.0,2.0,,Norway,,,,,,,
153794,"Software > Enterprise Software, Technology > Artificial Intelligence",2015.0,,Uppsala,Sweden,,,,,,,
153799,"Technology > Artificial Intelligence, Consumer Electronics > Wearables > Augmented Reality, Data Science > Computer Vision, Virtual Reality",2017.0,,,Switzerland,,,,,,,
153871,"Finance, Big Data, Big Data > Machine Learning, Agriculture, Finance > FinTech",2015.0,11.0,,,,,,,,,
153882,"Big Data, Big Data > Machine Learning, Agriculture, Big Data > Machine Learning > Deep Learning",2015.0,11.0,,France,,,,,,,
153898,"Technology > Artificial Intelligence, Finance > FinTech > Blockchain",,,San Francisco,United States,0.0,0.0,2018-08-06,Angel,,,
153999,"Services > Customer Service, Technology > Artificial Intelligence",,,San Francisco,United States,,,,,Google,2018-10-04,0.0
154164,"Internet > Email, Big Data > Machine Learning, Software, Businesses > Startups",2016.0,10.0,New York,United States,1500000.0,1500000.0,2018-10-11,Angel,,,
154214,Big Data > Machine Learning,,,Coralville,United States,,,,,,,
154216,"Finance, Big Data, Big Data > Machine Learning, Finance > FinTech",2016.0,2.0,Trondheim,Norway,,,,,,,
154219,"Technology, Technology > Data Mining, Technology > Artificial Intelligence, Knowledge Management",2011.0,2.0,Zurich,Switzerland,,,,,,,
154227,Big Data > Machine Learning > Natural Language Processing,,,Barcelona,Spain,,,,,,,
154266,"Analytics, Big Data > Machine Learning",,,,United States,10000000.0,10000000.0,2018-10-08,Series A,,,
154306,"Industry > Manufacturing, Technology > Artificial Intelligence, Energy > Energy Efficiency",,,San Francisco,United States,0.0,0.0,2018-08-01,Seed fund,,,
154307,"Technology > Information Technology, Big Data > Machine Learning, Data Science > Computer Vision",,,Beijing,China,0.0,0.0,2018-08-07,Angel,,,
154363,Technology > Artificial Intelligence,2018.0,,Switzerland,Switzerland,,,,,,,
154367,"Technology, Education, Technology > Artificial Intelligence",2014.0,2.0,Lausanne,Switzerland,,,,,,,
154368,Big Data > Machine Learning > Deep Learning,2016.0,,Switzerland,Switzerland,,,,,,,
154371,"Technology > Artificial Intelligence, Drones",,,,,,,,,,,
154372,"Robotics, Technology > Artificial Intelligence",,,Shenzhen,China,0.0,0.0,2018-08-06,Series A,,,
154374,"Technology > Artificial Intelligence, Life Sciences",,,,,,,,,,,
154383,"Technology, Analytics, Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence, Analytics > Predictive Analytics",2017.0,2.0,,United States,,,,,,,
